fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality_value,quality
11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,3,Low
10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4,3,Low
7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,3,Low
10.4,0.44,0.42,1.5,0.145,34,48,0.99832,3.38,0.86,9.9,3,Low
8.3,1.02,0.02,3.4,0.084,6,11,0.99892,3.48,0.49,11,3,Low
7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,3,Low
6.8,0.815,0,1.2,0.267,16,29,0.99471,3.32,0.51,9.8,3,Low
7.3,0.98,0.05,2.1,0.061,20,49,0.99705,3.31,0.55,9.7,3,Low
7.1,0.875,0.05,5.7,0.082,3,14,0.99808,3.4,0.52,10.2,3,Low
6.7,0.76,0.02,1.8,0.078,6,12,0.996,3.55,0.63,9.95,3,Low
8.5,0.26,0.21,16.2,0.074,41,197,0.998,3.02,0.5,9.8,3,Low
5.8,0.24,0.44,3.5,0.029,5,109,0.9913,3.53,0.43,11.7,3,Low
9.1,0.59,0.38,1.6,0.066,34,182,0.9968,3.23,0.38,8.5,3,Low
7.1,0.32,0.32,11,0.038,16,66,0.9937,3.24,0.4,11.5,3,Low
6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,3,Low
10.3,0.17,0.47,1.4,0.037,5,33,0.9939,2.89,0.28,9.6,3,Low
7.9,0.64,0.46,10.6,0.244,33,227,0.9983,2.87,0.74,9.1,3,Low
8.3,0.33,0.42,1.15,0.033,18,96,0.9911,3.2,0.32,12.4,3,Low
8.6,0.55,0.35,15.55,0.057,35.5,366.5,1.0001,3.04,0.63,11,3,Low
7.5,0.32,0.24,4.6,0.053,8,134,0.9958,3.14,0.5,9.1,3,Low
6.7,0.25,0.26,1.55,0.041,118.5,216,0.9949,3.55,0.63,9.4,3,Low
7.1,0.49,0.22,2,0.047,146.5,307.5,0.9924,3.24,0.37,11,3,Low
11.8,0.23,0.38,11.1,0.034,15,123,0.9997,2.93,0.55,9.7,3,Low
7.6,0.48,0.37,1.2,0.034,5,57,0.99256,3.05,0.54,10.4,3,Low
6.1,0.2,0.34,9.5,0.041,38,201,0.995,3.14,0.44,10.1,3,Low
4.2,0.215,0.23,5.1,0.041,64,157,0.99688,3.42,0.44,8,3,Low
9.4,0.24,0.29,8.5,0.037,124,208,0.99395,2.9,0.38,11,3,Low
6.2,0.23,0.35,0.7,0.051,24,111,0.9916,3.37,0.43,11,3,Low
6.8,0.26,0.34,15.1,0.06,42,162,0.99705,3.24,0.52,10.5,3,Low
6.1,0.26,0.25,2.9,0.047,289,440,0.99314,3.44,0.64,10.5,3,Low
5.1,1.07,1.37,54.1,0.474,109.3,271.9,1.02061,3.04,1.14,13.2,3,Low
13.3,1.39,0.8,41.9,0.2,145,348.6,1.00556,3.01,1.67,12.2,3,Low
11.5,1.22,1.19,38.9,0.216,235.8,367,1.0148,3.38,1.81,11.2,3,Low
9.4,1.21,1.01,53.5,0.238,182.7,296,1.01616,3.03,0.96,11.6,3,Low
11.8,0.67,0.86,34.6,0.34,229.9,195.4,1.01845,2.98,0.98,10.9,3,Low
6.8,0.69,0.89,44.8,0.14,126.2,243,1.01653,3.04,1.1,12.8,3,Low
10.1,1.29,0.76,39.6,0.315,225.7,348.6,1.02036,3.08,1.26,11.5,3,Low
11.7,1.07,1.19,51,0.275,161.8,206.7,1.01767,3.16,1.04,10,3,Low
8.4,0.82,0.76,47.2,0.343,132.7,213.2,1.01349,3.15,1.31,13,3,Low
10,1.12,0.63,48.2,0.161,218.4,214.3,1.02056,2.98,0.93,10.7,3,Low
11.2,1.01,0.9,47,0.22,164.4,146,1.00513,3.1,1.36,11.8,3,Low
10.8,1.05,1.43,48,0.302,174.9,146.8,1.02056,3.32,0.91,10.6,3,Low
13.4,0.83,1.38,45.3,0.269,149.7,255.7,1.02459,3.58,0.94,10.6,3,Low
10.5,0.98,0.93,29.9,0.323,234.9,223.9,1.02146,2.96,1.38,11.2,3,Low
13.3,0.98,0.47,59.3,0.37,219.6,339,1.02486,3.25,1.52,11.1,3,Low
10.9,0.63,1.41,37.2,0.125,211.2,289.3,1.02871,2.91,1.66,11.2,3,Low
12.6,1.22,1.1,57.8,0.277,77.4,289.1,1.01253,2.85,1.8,13.1,3,Low
11.7,1.23,1.43,47.4,0.278,177.9,369,1.00659,2.99,1.52,11.6,3,Low
14.4,1.24,0.97,49.4,0.356,188.9,285.6,1.0232,3.21,1.01,10.9,3,Low
10.8,0.43,0.91,27.5,0.367,107.4,162.8,1.01847,3.39,1.35,11.3,3,Low
7.3,0.69,1.06,34.3,0.147,174.9,292.5,1.01355,2.98,1.76,11.5,3,Low
8.8,1.04,1.34,47.6,0.342,109.6,249.2,1.02559,3.24,0.81,12,3,Low
12.3,1.09,0.96,39.4,0.232,229,221,1.02235,3.11,1.55,11.3,3,Low
9.7,0.48,1.05,28.8,0.213,57.9,355.7,1.02254,3.5,1.76,12.6,3,Low
7.2,0.94,1.21,34.1,0.154,168.5,269.3,1.01669,3.02,1.31,10.2,3,Low
11.8,0.62,0.92,33.3,0.213,97.3,241.2,0.99576,3.1,1.15,11.3,3,Low
9.7,0.8,0.87,21.8,0.407,106.7,250.3,1.01454,3.11,1.57,13,3,Low
13,1.28,0.94,18.5,0.159,179.9,315.8,1.00211,3.01,1.63,10.7,3,Low
12.3,1.12,0.57,49.3,0.429,155.9,301.6,1.02202,2.9,1.18,11.8,3,Low
10.2,0.83,0.96,42.2,0.355,227.2,273.5,1.02646,2.89,1.62,11.5,3,Low
10.6,0.55,1.21,40.8,0.142,179.1,274.3,1.01232,3.34,0.72,11.2,3,Low
11.9,0.59,1.32,46.6,0.283,151.8,127.5,1.02004,3.47,1.68,10.8,3,Low
12,0.67,0.78,45.9,0.281,192.3,225.8,1.02544,2.87,1.14,11.1,3,Low
10.4,1.36,1.26,55.2,0.151,243.7,350.4,1.02229,3.21,1.33,11.1,3,Low
9.8,1.19,0.86,38.8,0.229,174.6,384,1.01376,3.32,1.09,12.6,3,Low
8.1,0.96,1.45,53.9,0.11,124.2,350.1,1.02138,2.91,1.59,12.4,3,Low
11,0.76,0.88,38,0.446,159.9,140.5,1.02079,3.32,0.86,10.7,3,Low
12.1,1.18,1.08,47.5,0.159,167.1,338.1,1.03278,2.78,1.16,11,3,Low
10.2,0.71,1,49.1,0.212,137.9,141.3,1.00902,3.53,1.14,11.2,3,Low
10.8,0.75,0.8,31.9,0.163,218.9,288.3,1.01145,3.32,1.22,12.1,3,Low
7.2,1.19,1.15,56,0.213,228.6,346.6,1.01616,3.11,1.21,11.3,3,Low
10.2,1.04,1.26,27.5,0.309,218.3,107.2,0.99984,3.48,1.37,13,3,Low
8.8,0.71,1.41,40.6,0.126,64.8,271.2,1.00884,3.02,0.78,12.7,3,Low
8.5,1.1,0.81,38.3,0.216,225.2,361.2,1.00921,2.98,1.01,11.5,3,Low
11.3,0.94,0.49,46.2,0.191,226.3,290.5,1.01611,3.03,1.03,10.9,3,Low
11.5,1.34,1.1,50.7,0.319,240.1,272.2,1.01386,3.24,0.65,13.6,3,Low
8.1,1.19,1.19,46.9,0.328,66.6,334.8,1.02379,2.93,1.49,13.4,3,Low
10.1,0.94,0.91,32.2,0.202,188.3,206.6,1.01769,3.65,1.22,11.9,3,Low
10.4,1.24,0.86,32.3,0.364,194.5,317,1.01813,3.22,1.35,11.4,3,Low
9.9,0.72,0.73,40.3,0.132,250,215,1.00736,3.13,1.4,12.9,3,Low
12.9,0.94,1.16,52,0.282,194.8,357.2,1.01062,3.19,1.57,11.9,3,Low
9.7,0.71,1.2,28.3,0.357,102.7,254,1.00428,3.16,1.29,13.2,3,Low
9.5,0.67,1.11,28.6,0.165,199.3,105.4,1.01012,3.51,1.34,13.4,3,Low
10,0.97,0.7,40.8,0.223,165.2,129.8,1.0113,3.31,1.63,11.1,3,Low
14.7,0.7,1.23,39.9,0.384,217.8,313.5,1.00797,2.99,1.06,10.7,3,Low
10.9,0.94,0.52,42.7,0.247,229,400,1.01849,2.95,1.47,9.8,3,Low
7.9,0.83,1.07,47,0.213,112.2,179.1,1.02369,3.26,0.99,11.6,3,Low
11.3,0.74,1.03,37.6,0.297,186,321.8,1.00246,3.19,1.48,10.2,3,Low
10.9,0.56,0.88,30.9,0.154,231.6,281.4,1.01472,3.24,1.04,12.2,3,Low
13,0.4,0.7,20.5,0.432,200.9,237.6,1.02162,3.56,1.33,9.7,3,Low
13.7,0.71,0.85,46.1,0.205,217.5,363.6,1.03563,2.92,0.98,10.5,3,Low
12.3,1.07,0.59,52.1,0.138,166.3,355,1.01152,3.16,1.58,11.3,3,Low
11.5,1.23,0.97,20.8,0.225,195.5,157.7,1.01509,3.11,1.39,11.4,3,Low
13.5,1.23,0.75,45.4,0.291,123.8,243.5,1.03296,2.95,1.16,11.6,3,Low
9.9,0.85,1.29,53.5,0.35,97.1,292,1.01842,3.07,1.58,11.6,3,Low
12.9,1.08,1.21,33.7,0.23,147.7,258.1,1.00716,3.33,1.77,11.9,3,Low
13.4,1.17,1.41,46.9,0.287,273.4,275.3,1.01168,3.23,1.03,10.7,3,Low
9.7,0.79,0.75,44.4,0.223,169.8,234.5,1.01168,2.86,1.52,11.9,3,Low
